income_bin,n
151250,955
153750,982
156250,894
158750,873
161250,810
163750,851
166250,827
168750,818
171250,772
173750,810
176250,751
178750,754
181250,787
183750,758
186250,737
188750,709
191250,653
193750,732
196250,717
198750,754
201250,759
203750,686
206250,680
208750,731
211250,702
213750,636
216250,691
218750,648
221250,648
223750,595
226250,619
228750,634
231250,594
233750,575
236250,524
238750,603
241250,567
243750,541
246250,605
248750,625
251250,569
253750,533
256250,547
258750,515
261250,523
263750,509
266250,536
268750,527
271250,511
273750,507
276250,505
278750,560
281250,496
283750,533
286250,490
288750,504
291250,467
293750,487
296250,439
298750,552
301250,535
303750,497
306250,478
308750,468
311250,457
313750,484
316250,478
318750,469
321250,482
323750,471
326250,446
328750,470
331250,461
333750,448
336250,445
338750,423
341250,451
343750,455
346250,501
348750,529
351250,519
353750,503
356250,538
358750,545
361250,648
363750,1029
366250,672
368750,503
371250,449
373750,455
376250,397
378750,406
381250,425
383750,391
386250,398
388750,410
391250,353
393750,355
396250,366
398750,372
401250,337
403750,409
406250,372
408750,385
411250,381
413750,325
416250,347
418750,317
421250,308
423750,318
426250,291
428750,300
431250,310
433750,288
436250,302
438750,287
441250,252
443750,321
446250,283
448750,295
451250,255
453750,262
456250,241
458750,260
461250,281
463750,246
466250,281
468750,247
471250,256
473750,246
476250,248
478750,270
481250,238
483750,237
486250,246
488750,257
491250,236
493750,269
496250,271
498750,282
